job_id,job_title,company,company_size,location,experience_level,work_arrangement,salary,required_skills,posting_date,date_posted
JOB_0001,Data Scientist,Tech Corp,Medium (201-1000),"Portland, OR",Entry Level (0-2 years),Remote,104265.0,"Azure, PyTorch, Statistics, Python",2024-12-01,12/01/2024
JOB_0002,Data Scientist,Analytics Partners,Large (1001+),"Atlanta, GA",Entry Level (0-2 years),Remote,70328.0,"Python, Jupyter, Statistics",2024-08-24,08/24/2024
JOB_0003,Data Analyst,DataFlow Systems,Large (1001+),"Atlanta, GA",Mid Level (3-5 years),Remote,68231.0,"SQL, Looker, Matplotlib, Excel, Power BI, Tableau, R",2025-03-26,2025-03-26
JOB_0004,Data Analyst,Intelligence Solutions,Medium (201-1000),"Phoenix, AZ",Mid Level (3-5 years),On-site,72059.0,"SQL, Excel, Python, PowerQuery",2024-10-27,10/27/2024
JOB_0005,Data Scientist,Information Analytics,Medium (201-1000),"Austin, TX",Senior Level (6-10 years),Remote,107361.0,"Machine Learning, Statistics, Python, Azure, Tableau, Git, SQL",2025-04-01,04/01/2025
JOB_0006,Data Scientist,Information Analytics,Medium (201-1000),"Atlanta, GA",Senior Level (6-10 years),Hybrid,,"Deep Learning, Machine Learning, Python, Docker, SQL, TensorFlow, R, Power BI",2024-11-15,11/15/2024
JOB_0007,Data Engineer,Cloud Data Systems,Startup (1-50),"Boston, MA",Entry Level (0-2 years),On-site,115260.0,"Redis, PostgreSQL, Kafka, MongoDB, Python, SQL",2024-12-29,12/29/2024
JOB_0008,Data Scientist,Business Intelligence Ltd,Startup (1-50),"Austin, TX",Mid Level (3-5 years),Hybrid,140010.0,"R, Python, NumPy, SQL",2025-06-30,06/30/2025
JOB_0009,Data Analyst,DataFlow Systems,Small (51-200),"Los Angeles, CA",Senior Level (6-10 years),Hybrid,86510.0,"SQL, Pandas, SPSS",2025-01-22,01/22/2025
JOB_0010,Data Engineer,Analytics Pro,Small (51-200),"Los Angeles, CA",Senior Level (6-10 years),Hybrid,179835.0,"Python, GCP, Docker, Azure",2025-01-17,01/17/2025
JOB_0011,Data Engineer,Business Intelligence Ltd,Small (51-200),"Denver, CO",Mid Level (3-5 years),Remote,97219.0,"Python, SQL, NoSQL, Kafka, Hadoop, Airflow, ETL",2025-05-23,05/23/2025
JOB_0012,Data Analyst,Information Systems Inc,Small (51-200),"Washington, DC",Lead Level (10+ years),Remote,99915.0,"Git, Python, SQL, Power BI, Statistics, R",2025-04-26,04/26/2025
JOB_0013,Data Engineer,Intelligence Solutions,Startup (1-50),"Seattle, WA",Mid Level (3-5 years),On-site,157348.0,"Apache Spark, Hadoop, Python, Airflow, Kafka, Kubernetes, Git",2025-02-20,02/20/2025
